DATA INCLUSAO;CODIGO ANUNCIO;MARCA;MODELO;VERSAO;PLACA;COR;KM;PORTAS;COMBUSTIVEL;CAMBIO;ANO FABRICACAO;ANO MODELO;VALOR;OPCIONAIS;DESTAQUE NO SITE;QTD_FOTOS;WebMotors;
08/07/2026 14:37;61883682;YAMAHA;NMAX 160 ABS;Scooter;EHI7J67;Branco;39175;0;;;2022;2022;R$ 17.500,00;;INATIVO;5;PUBLICADO;
08/07/2026 14:31;61883283;YAMAHA;NMAX CONNECTED 160 ABS;Scooter;UGP0E72;Marrom;4332;0;;;2025;2026;R$ 24.000,00;;INATIVO;5;PUBLICADO;
08/07/2026 14:20;61882517;YAMAHA;NMAX 160 ABS;Scooter;STL6H39;Vermelho;15632;0;;;2023;2024;R$ 19.500,00;;INATIVO;6;PUBLICADO;
08/07/2026 14:11;61881786;YAMAHA;AEROX 160 ABS;Scooter;QSY0H29;Vermelho;718;0;;;2026;2026;R$ 21.900,00;;INATIVO;6;PUBLICADO;
08/07/2026 14:05;61881346;HONDA;ADV;Scooter;FWA1J57;Branco;46546;0;;;2022;2022;R$ 21.900,00;;INATIVO;5;PUBLICADO;
08/07/2026 14:00;61880968;HONDA;SH 150I;Scooter;DFV0A59;Cinza;25718;0;;;2019;2019;R$ 12.900,00;;INATIVO;4;PUBLICADO;
08/07/2026 11:46;61871795;DAFRA;CITYCOM 300I;Scooter;EZN7960;Cinza;33350;0;;;2019;2019;R$ 16.500,00;;INATIVO;5;PUBLICADO;
03/07/2026 13:04;61436130;YAMAHA;XMAX 250 CONNECTED ABS;Scooter;TLC2J79;Cinza;10275;0;;;2025;2025;R$ 33.900,00;;INATIVO;5;PUBLICADO;
03/07/2026 12:54;61435339;YAMAHA;NEO 125;Scooter;TKF2F59;Azul;23575;0;;;2024;2025;R$ 13.500,00;;INATIVO;5;PUBLICADO;
03/07/2026 12:50;61435024;DAFRA;CRUISYM 300;Scooter;FPU2E05;Preto;20352;0;;;2023;2023;R$ 25.500,00;;INATIVO;5;PUBLICADO;
03/07/2026 12:09;61431940;YAMAHA;AEROX 160 ABS;Scooter;UDC2B38;Prata;15550;0;;;2026;2026;R$ 21.900,00;;INATIVO;6;PUBLICADO;
03/07/2026 11:59;61431200;HONDA;PCX 160 ABS;Scooter;FUE7J73;Vermelho;5600;0;;;2025;2025;R$ 21.900,00;;INATIVO;6;PUBLICADO;
24/06/2026 16:47;60619325;DAFRA;CITYCOM S 300I;Scooter;GDJ3F84;Branco;30000;0;;;2023;2024;R$ 21.900,00;;INATIVO;4;PUBLICADO;
